match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2008,Chennai,2008-04-06,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,normal,Rajasthan Royals,53,0,Player_130,"Feroz Shah Kotla, Delhi",Umpire_1,Umpire_12
2,2008,Kolkata,2008-05-20,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,no result,,0,0,Player_64,"Narendra Modi Stadium, Ahmedabad",Umpire_3,Umpire_5
3,2008,Hyderabad,2008-03-08,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Punjab Kings,60,0,Player_175,"Eden Gardens, Kolkata",Umpire_14,Umpire_17
4,2008,Chandigarh,2008-04-23,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,4,Player_190,"PCA Stadium, Chandigarh",Umpire_21,Umpire_16
5,2008,Mumbai,2008-05-11,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,88,0,Player_81,"PCA Stadium, Chandigarh",Umpire_3,Umpire_3
6,2008,Delhi,2008-05-12,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,normal,Rajasthan Royals,0,8,Player_104,"Sawai Mansingh Stadium, Jaipur",Umpire_27,Umpire_3
7,2008,Lucknow,2008-04-28,Punjab Kings,Chennai Super Kings,Punjab Kings,field,normal,Chennai Super Kings,15,0,Player_179,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_17,Umpire_20
8,2008,Ahmedabad,2008-03-06,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,45,0,Player_28,"M. Chinnaswamy Stadium, Bangalore",Umpire_11,Umpire_26
9,2008,Ahmedabad,2008-04-05,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,normal,Chennai Super Kings,0,8,Player_51,"Ekana Cricket Stadium, Lucknow",Umpire_12,Umpire_24
10,2008,Mumbai,2008-04-02,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,Royal Challengers Bangalore,59,0,Player_54,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_5,Umpire_1
11,2008,Chandigarh,2008-03-20,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,normal,Gujarat Titans,0,6,Player_98,"Sawai Mansingh Stadium, Jaipur",Umpire_22,Umpire_11
12,2008,Bangalore,2008-03-01,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,normal,Chennai Super Kings,0,7,Player_168,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_18,Umpire_8
13,2008,Mumbai,2008-04-12,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,2,0,Player_197,"Feroz Shah Kotla, Delhi",Umpire_27,Umpire_23
14,2008,Chandigarh,2008-04-03,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,normal,Mumbai Indians,0,6,Player_112,"Narendra Modi Stadium, Ahmedabad",Umpire_3,Umpire_25
15,2008,Hyderabad,2008-05-17,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,0,8,Player_128,"Wankhede Stadium, Mumbai",Umpire_16,Umpire_12
16,2008,Mumbai,2008-03-28,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,normal,Mumbai Indians,64,0,Player_61,"Eden Gardens, Kolkata",Umpire_4,Umpire_3
17,2008,Kolkata,2008-03-20,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad,0,5,Player_191,"Feroz Shah Kotla, Delhi",Umpire_23,Umpire_1
18,2008,Chennai,2008-05-27,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,no result,,0,0,Player_130,"Ekana Cricket Stadium, Lucknow",Umpire_17,Umpire_8
